Document Title,¤¤¤å¼ÐÃD,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Building A Document Class Hierarchy for Obtaining More Proper Bibliographies from Web,«Ø¥ß¤åÀÉÃþ¼h¦¸µ²ºc¥H±qWebÀò¨ú§ó¦h¥¿½Tªº®Ñ¥Ø,Daling Wang; Ge Yu; Minghan Hu; Yubin Bao; Meng Zhang,"School of Information Science and Engineering, Northeastern University Shenyang 110004, P.R.China; Sch. of Inf. Sci. & Eng., Northeastern Univ., Shenyang; Sch. of Inf. Sci. & Eng., Northeastern Univ., Shenyang; Sch. of Inf. Sci. & Eng., Northeastern Univ., Shenyang; Sch. of Inf. Sci. & Eng., Northeastern Univ., Shenyang",International Workshop on Challenges in Web Information Retrieval and Integration,12-Dec-05,2005,,,214,219,"In order for researchers in scientific and technological fields to find more proper information resources on Web, an auxiliary search structure is proposed, which is a class hierarchy of documents built based on the keywords of the documents. To cover the contents of the document properly, the keywords are extracted by means of mining maximal sequential frequent phrases. In this paper, the concept of maximal sequential frequent phrase is defined, and the corresponding mining algorithm is designed and implemented. The experiments show that keywords extraction using maximal sequential frequent phrase has better F-measure than that of using traditional TFIDF weight. Moreover, compared with previous works, our extended class hierarchy tree represents a relationship hierarchy either between keywords themselves or between keywords and documents, by which the queries on different professional levels can be supported",,0-7695-2414-1,10.1109/WIRI.2005.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553016,,Bibliographies;Information resources;Search engines;Books;Information science;Data mining;Algorithm design and analysis;Internet;Proposals;Writing,data mining;Internet;search engines;text analysis,document class hierarchy;bibliographies;World Wide Web;information resources;auxiliary search structure;document keywords;maximal sequential frequent phrase mining;keyword extraction;TFIDF weight,,,,16,,12-Dec-05,,,IEEE,IEEE Conferences
Source Code Authorship Attribution Using Hybrid Approach of Program Dependence Graph and Deep Learning Model,µ{§Ç¨Ì¿à¹Ï©M²`«×¾Ç²ß¼Ò«¬²V¦X¤èªkªº·½¥N½X§@ªÌ¨­¥÷ÂkÄÝ,F. Ullah; J. Wang; S. Jabbar; F. Al-Turjman; M. Alazab,"College of Computer Science, Sichuan University, Chengdu, China; School of Aeronautics and Astronautics, College of Computer Science, Sichuan University, Chengdu, China; Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, U.K.; Artificial Intelligence Department, Near East University, Nicosia, Turkey; College of Engineering, IT & Environment, Charles Darwin University, Casuarina, NT, Australia",IEEE Access,7-Oct-19,2019,7,,141987,141999,"Source Code Authorship Attribution (SCAA) is to find the real author of source code in a corpus. Though, it is a privacy threat to open-source programmers, but, it may be significantly helpful to develop forensic based applications. Such as, ghostwriting detection, copyright dispute settlements, and other code analysis applications. The efficient features extraction is the key challenge for classifying real authors of specific source codes. In this paper, the Program Dependence Graph with Deep Learning (PDGDL) methodology is proposed to identify authors from different programming source codes. First, the PDG is implemented to extract control and data dependencies from source codes. Second, the preprocessing technique is applied to convert PDG features into small instances with frequency details. Third, the Term Frequency Inverse Document Frequency (TFIDF) technique is used to zoom the importance of each PDG feature in source code. Fourth, Synthetic Minority Over-sampling Technique (SMOTE) is applied to tackle the class imbalance problem. Finally, the deep learning algorithm is applied to extract coding styles' features for each programmer and to attribute the real authors. The deep learning algorithm is further fine-tuned with drop out layer, learning error rate, loss and activation function, and dense layers for better accuracy of results. The proposed work is analyzed on 1000 programmers' data, collected from Google Code Jam (GCJ). The dataset contains three different programming languages, i.e., C++, Java, C#. The results are appreciable in outperforming the existing techniques from the perspective of classification accuracy, precision, recall, and f-measure metrics.",2169-3536,,10.1109/ACCESS.2019.2943639,"National Basic Research Program of China (973 Program); National Natural Science Foundation of China; Technology Research Development Program of Sichuan, China; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8848478,Code authorship attribution;program dependence graph;deep learning;software forensics and security;software plagiarism,Feature extraction;Encoding;Programming;Malware;Deep learning;Forensics,authorisation;C# language;C++ language;feature extraction;graph theory;Java;learning (artificial intelligence);neural nets;pattern classification;program compilers;program diagnostics;public domain software;source code (software);text analysis,Program Dependence Graph;Deep Learning model;Source Code Authorship Attribution;open-source programmers;code analysis;feature extraction;PDG feature;Term Frequency Inverse Document Frequency technique;deep learning algorithm;Google Code Jam;source Code Authorship Attribution;programming source codes;TFIDF;synthetic minority over-sampling technique;SMOTE;C++ language;Java language;C# language,,2,,45,CCBY,25-Sep-19,,,IEEE,IEEE Journals
Using n-best recognition output for extractive summarization and keyword extraction in meeting speech,¨Ï¥În³Ì¨ÎÃÑ§O¿é¥X¶i¦æ·|Ä³»y­µªº´£¨úºK­n©MÃöÁä¦r´£¨ú,Y. Liu; S. Xie; F. Liu,"The University of Texas at Dallas, Richardson, USA; The University of Texas at Dallas, Richardson, USA; The University of Texas at Dallas, Richardson, USA","2010 IEEE International Conference on Acoustics, Speech and Signal Processing",28-Jun-10,2010,,,5310,5313,"There has been increasing interest recently in meeting understanding, such as summarization, browsing, action item detection, and topic segmentation. However, there is very limited effort on using rich recognition output (e.g., recognition confidence measure or more recognition candidates) for these downstream tasks. This paper presents an initial study using n-best recognition hypotheses for two tasks, extractive summarization and keyword extraction. We extend the approach used on 1-best output to n-best hypotheses: MMR (maximum marginal relevance) for summarization and TFIDF (term frequency, inverse document frequency) weighting for keyword extraction. Our experiments on the ICSI meeting corpus demonstrate promising improvement using n-best hypotheses over 1-best output. These results suggest worthy future studies using n-best or lattices as the interface between speech recognition and downstream tasks.",2379-190X,978-1-4244-4295-9,10.1109/ICASSP.2010.5494972,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5494972,summarization;keyword extraction;n-best hypotheses,Speech recognition;Automatic speech recognition;Data mining;Lattices;Frequency;Humans;Broadcasting;Degradation;Natural languages;Information management,feature extraction;speech processing;speech recognition,n-best recognition output;extractive summarization;keyword extraction;meeting speech;browsing;action item detection;topic segmentation;recognition confidence measure;recognition candidates;n-best recognition hypotheses;MMR;maximum marginal relevance;TFIDF weighting;term frequency inverse document frequency,,9,,22,,28-Jun-10,,,IEEE,IEEE Conferences
Retrieving and ranking short medical questions with two stages neural matching model,¨Ï¥Î¨â¶¥¬q¯«¸g¤Ç°t¼Ò«¬ÀË¯Á©M±Æ§ÇÂ²µuªºÂå¾Ç°ÝÃD,X. Li; X. Fu; Z. Lu; R. Bai; U. Aickelin; P. Ge; G. Liu,"School of Computer Science, University of Nottingham, Ningbo, China; School of Computer Science, University of Nottingham, Ningbo, China; School of Computer Science, University of Nottingham, Ningbo, China; School of Computer Science, University of Nottingham, Ningbo, China; School of Computing and Information Systems, University of Melbourne, Melbourne, Austrialia; Technology Dept, Ping An Health Cloud, Ping An, Shanghai; Technology Dept, Ping An Health Cloud, Ping An, Shanghai",2019 IEEE Congress on Evolutionary Computation (CEC),8-Aug-19,2019,,,873,879,"Internet hospital is a rising business thanks to recent advances in mobile web technology and high demand of health care services. Online medical services become increasingly popular and active. According to US data in 2018, 80 percent of internet users have asked health-related questions online. Numerous data is generated in unprecedented speed and scale. Those representative questions and answers in medical fields are valuable raw data sources for medical data mining. Automated machine interpretation on those sheer amount of data gives an opportunity to assist doctors to answer frequently asked medical-related questions from the perspective of information retrieval and machine learning approaches. In this work, we propose a novel two-stage framework for the semantic matching of query-level medical questions, which takes advantages of sentence similarity-based search engine techniques and Siamese inspired recent recurrent neural network. The two-stage hierarchical design optimises the performance of automatic information retrieval of user queries. Compared against the classical TFIDF search technique as a single-stage, our novel soft search technique performs significantly better. Incorporating an advanced deep learning model as the second stage can improve the results further, which we believe is the new state-of-the-art in the current problem setting with the unique medical corpus from one of the largest online healthcare provider in market.",,978-1-7281-2153-6,10.1109/CEC.2019.8790326,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8790326,machine learning;information retrieval;medical questions answering,Semantics;Standards;Medical services;Recurrent neural networks;Search engines;Computer science,data mining;health care;information retrieval;Internet;learning (artificial intelligence);medical information systems;natural language processing;search engines;text analysis,health-related questions;medical data mining;automated machine interpretation;medical-related questions;machine learning approaches;semantic matching;query-level medical questions;sentence similarity-based search engine techniques;two-stage hierarchical design optimises;automatic information retrieval;user queries;soft search technique;mobile web technology;health care services;online medical services;US data;recurrent neural network;deep learning model;medical corpus;neural matching model;Internet hospital;medical questions;TFIDF search technique,,,,30,,8-Aug-19,,,IEEE,IEEE Conferences
Multi-schema matching based on clustering techniques,°ò©ó»EÃþ§Þ³Nªº¦h¼Ò¦¡¤Ç°t,Guohui Ding; Tianhe Sun; Yingnan Xu,"School of Computer, Shenyang Aerospace University, China; School of Electronic Information Engineering, Shenyang Aerospace University, China; School of Graduate, Shenyang Aerospace University, China",2013 10th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD),19-May-14,2013,,,778,782,"Schema matching plays an important role in many database applications, such as ontology merging, data integration, data warehouse and dataspaces. The problem of schema matching is to find the semantic correspondence between attributes of schemas to be matched. In this paper, we propose multi-schema matching based on clustering techniques. Traditional matching techniques mainly address matching tasks between two attributes, namely pairwise-attribute correspondence. However, there exist lots of applications that require the semantic correspondence among multiple attributes. Thus, we will focus on matching multiple attributes, which is more difficult than pairwise-attribute correspondence. We employ the clustering techniques to solve the multi-schema matching problem. We use the well-known TFIDF weighting method to convert each attribute in schemas to a point in the vector space model. Then, these attributes can be partitioned into different clusters each of which has a specific semantics topic. Finally, the attributes partitioned into the same cluster are similar with higher confidence. We validate our approach with an experimental study, the results of which demonstrate that our approach is effective and has good performance.",,978-1-4673-5253-6,10.1109/FSKD.2013.6816299,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6816299,,Vectors;Semantics;Measurement;Clustering algorithms;Partitioning algorithms;Accuracy;Educational institutions,data integration;data warehouses;database management systems;merging;ontologies (artificial intelligence);pattern clustering;vectors,dataspaces;data warehouse;data integration;ontology merging;vector space model;TFIDF weighting method;pairwise-attribute correspondence;database applications;clustering techniques;multischema matching,,,,18,,19-May-14,,,IEEE,IEEE Conferences
Similarity Evaluation of English Translations of the Holy Quran,¥jÄõ¸g­^»yÄ¶¥»ªº¬Û¦ü©Êµû»ù,M. Z. Murah,"Center for Artificial Intell. Technol., Univ. Kebangsaan Malaysia, Bangi, Malaysia",2013 Taibah University International Conference on Advances in Information Technology for the Holy Quran and Its Sciences,28-Sep-15,2013,,,228,233,"In this paper, similarity evaluation of English translations of the Holy Quran using four computational methods is performed. The computational methods are bag of words, term-frequency, tfidf and latent semantic indexing. We used twenty-one translation pairs from seven English translations (Hilali, Yusuf Ali, Sahih, Shakir, Arberry, Pickthall, Maududi) in our experiments. The similarity measures were evaluated pair wise. Based on our results, seven translations pair have high similarity measures, (Hilali, Yusuf Ali), (Hilali, Sahih), (Sahih, Shakir), (Hilali, Pickthall), (Pickthall, Shakir), (Hilali, Shakir), (Shakir, Arberry). We have nine translation pairs with low similarity measures, (Hilali, Maududi), (Maududi, Pick-thall), (Maududi, Yusuf Ali), (Hilali, Arberry), (Arberry, Yusuf Ali), (Maududi, Arberry), (Pickthall, Yusuf Ali), (Shahih, Yusuf Ali), (Pickthall, Sahih). These results from a computational perspective offer new insights into the similarity evaluation between the English translations based on computation methods. Also, we concluded the translations of (Hilali, Sahih, Shakir, Yusuf Ali, Pickthall) could be clustered into one group, and the translations of (Maududi, Arberry) into another group. These results could be used for classification of English translations and for comparing future translations.",,978-1-4799-2823-1,10.1109/NOORIC.2013.54,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7277251,similarity measures;Quran translations,Semantics;Indexing;Frequency measurement;Computational linguistics;Computational modeling;Matrix decomposition;Natural language processing,indexing;language translation;pattern clustering,similarity evaluation;English translations;Holy Quran;computational methods;bag of words;term-frequency;tfidf;latent semantic indexing;translation pairs;Hilali;YusufAli;Sahih;Shakir;Arberry;Pickthall;Maududi;pairwise evaluation,,,,17,,28-Sep-15,,,IEEE,IEEE Conferences
From keywords to social tags: Tagging for dialogues,±qÃöÁä¦r¨ìªÀ¥æ¼ÐÅÒ¡G¬°¹ï¸Ü²K¥[¼ÐÅÒ,Guannan Fang; Caixia Yuan; Xiaojie Wang; Jiang Li; Zhanjiang Song,"Center for Intelligence Science and Technology, Beijing University of Posts and Telecommunications, China; Center for Intelligence Science and Technology, Beijing University of Posts and Telecommunications, China; Center for Intelligence Science and Technology, Beijing University of Posts and Telecommunications, China; Nokia Research Center, Beijing, China; Nokia Research Center, Beijing, China",2011 7th International Conference on Natural Language Processing and Knowledge Engineering,26-Jan-12,2011,,,106,113,"This paper proposes an unsupervised method for generating informative tags for multi-party dialogue in an open domain. Our model first extracts keywords from text through a multi-weighting framework, which includes frequency weighting, sentence weighting, speaker weighting and position weighting. Then we get their bigrams through frequent pattern matching. In order to generate more flexible and socialized tags, we expand keywords and their bigrams by exploring tag associations mined from a famous bookmarking web del.icio.us. Finally we rank the three parts of tag candidates under a uniform metric. Unlike previous models used for tag recommendation task, our model needs neither seed tags for source texts nor a complete tag set. It can recommend new tags out of the historical tag set. We evaluate our methods on 10,265 Chinese dialogues. Experimental results show our method outperform previous models like TextRank, TFIDF rank and KNN.",,978-1-61284-729-0,10.1109/NLPKE.2011.6138177,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6138177,bigram;social tag;dialogue;multi-weighting;tag association,Linux;Delta modulation;Electronic publishing,interactive systems;social networking (online),keyword extraction;social tags;informative tag generation;multiparty dialogue;multiweighting framework;frequency weighting;sentence weighting;speaker weighting;position weighting;pattern matching;bigrams;Web del.icio.us;TextRank;TFIDF rank;KNN,,1,,24,,26-Jan-12,,,IEEE,IEEE Conferences
Children story classification based on structure of the story,°ò©ó¬G¨Æµ²ºcªº¨àµ£¬G¨Æ¤ÀÃþ,Harikrishna D M; K. S. Rao,"School of Information Technology, Indian Institute of Technology, Kharagpur, India; School of Information Technology, Indian Institute of Technology, Kharagpur, India","2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",28-Sep-15,2015,,,1485,1490,"The main objective of this work is to classify Hindi and Telugu stories based on their structure into three genres: Fable, Folk-tale and Legend. In this work, each story is divided into three parts: (i) introduction, (ii) main and (iii) climax. The objective of this work is to explore how story genre information is embedded in different parts of the story. We are proposing a framework for story classification using keyword and Part-of-speech (POS) based features. Keyword based features like Term Frequency (TF) and Term Frequency Inverse Document Frequency (TFIDF) are used. Classification performance is analyzed for different story parts using various combinations of features with three classifiers: (i) Naive Bayes (NB), (ii) k-Nearest Neighbour (KNN) and (iii) Support Vector Machine (SVM). From the experimental studies, it has been observed that classification performance has not significantly improved by combining linguistic (POS) and keyword based features. Among classifiers, SVM outperformed the other classifiers. The main part of the story has the highest classification accuracy compared to introduction and climax parts of the story.",,978-1-4799-8792-4,10.1109/ICACCI.2015.7275822,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7275822,Story Classification;Text-to-Speech;Part-of-Speech;Vector Space Model;Naive Bayes;KNN;SVM;Structure of Story;Introduction;Main;Climax,Support vector machines;Niobium;Accuracy;Handheld computers;Text categorization;Informatics;Machine learning algorithms,Bayes methods;document handling;linguistics;natural language processing;pattern classification;speech synthesis;support vector machines,children story classification;story structure;classify;Hindi story classification;Telugu story classification;fable;folk-tale;legend;story genre information;part-of-speech;POS based feature;term frequency inverse document frequency;TFIDF;classification performance;naive Bayes classifier;NB classifier;k-nearest neighbour classifier;KNN classifier;support vector machine classifier;SVM classifier;linguistic;keyword based features;story speech synthesis system,,9,,17,,28-Sep-15,,,IEEE,IEEE Conferences
Combining content with user preferences for TED lecture recommendation,±N¤º®e»P¥Î¤á³ß¦nµ²¦X°_¨Ó¥H¶i¦æTEDºtÁ¿±ÀÂË,N. Pappas; A. Popescu-Belis,"Idiap Research Institute, Rue Marconi 19, 1920 Martigny, Switzerland; Idiap Research Institute, Rue Marconi 19, 1920 Martigny, Switzerland",2013 11th International Workshop on Content-Based Multimedia Indexing (CBMI),8-Aug-13,2013,,,47,52,"This paper introduces a new dataset and compares several methods for the recommendation of non-fiction audiovisual material, namely lectures from the TED website. The TED dataset contains 1,149 talks and 69,023 profiles of users, who have made more than 100,000 ratings and 200,000 comments. This data set, which we make public, can be used for training and testing of generic and personalized recommendation tasks. We define content-based, collaborative, and combined recommendation methods for TED lectures and use cross-validation to select the best parameters of keyword-based (TFIDF) and semantic vector space-based methods (LSI, LDA, RP, and ESA). We compare these methods on a personalized recommendation task in two settings, a cold-start and a non-cold-start one. In the former, semantic-based vector spaces perform better than keyword-based ones. In the latter, where collaborative information can be exploited, content-based methods are outperformed by collaborative filtering ones, but the proposed combined method shows acceptable performances, and can be used in both settings.",1949-3991,978-1-4799-0956-8,10.1109/CBMI.2013.6576551,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6576551,,Semantics;Collaboration;Vectors;Large scale integration;Training;Computational modeling;Measurement,audio-visual systems;collaborative filtering;computer aided instruction;content-based retrieval;recommender systems,user preferences;TED lecture recommendation;nonfiction audio-visual material;TED Website;TED dataset;personalized recommendation tasks;generic recommendation tasks;content-based recommendation methods;collaborative recommendation methods;combined recommendation methods;cross-validation;keyword-based parameters;TFIDF;semantic vector space-based methods;noncold-start settings;semantic-based vector spaces;collaborative information;collaborative filtering,,8,,17,,8-Aug-13,,,IEEE,IEEE Conferences
A Dynamic Graph Model for Analyzing Streaming News Documents,¥Î©ó¤ÀªR¬y·s»D¤åÀÉªº°ÊºA¹Ï¼Ò«¬,E. L. Hohman; D. J. Marchette,"Naval Surface Warfare Center, Dahlgren, VA 22448. Email: elizabeth.hohman@navy.mil; Naval Surface Warfare Center, Dahlgren, VA 22448. Email: david.marchette@navy.mil",2007 IEEE Symposium on Computational Intelligence and Data Mining,4-Jun-07,2007,,,462,469,"In this paper we consider the problem of analyzing streaming documents, in particular streaming news stories. The system is designed to extract statistics from the document, incorporate these into a graph-based model, and discard the document to reduce storage requirements. The model is defined in terms of a changing lexicon and sub-lexicons at each node in the graph, with the nodes of the graph representing topics. An approximation to the TFIDF term weighting is introduced. We illustrate the methodology on a dataset of news articles, and discuss the dynamic nature of the model",,1-4244-0705-2,10.1109/CIDM.2007.368911,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4221335,,Text processing;Frequency;Computational intelligence;Data mining;Statistics;Text categorization;Keyboards;Feeds;Electronic mail;Traffic control,document handling;graph theory,dynamic graph model;analyzing streaming news documents;lexicon;TFIDF term weighting,,,,14,,4-Jun-07,,,IEEE,IEEE Conferences
An Ensemble Learning for Detecting Situational Awareness Tweets during Environmental Hazards,¦bÀô¹Ò¦M®`¤¤ÀË´ú±¡¹Ò·NÃÑ±À¤åªº¾ãÅé¾Ç²ß,A. Alshehri; S. Alahamri,"Dept. of Computer Science and Engineering, University of South Florida Tampa, Florida, 33620; Dept. of Computer Science and Engineering, University of South Florida Tampa, Florida, 33620",2019 IEEE International Systems Conference (SysCon),16-Sep-19,2019,,,1,8,"The shift to social media platforms like Twitter during environmental hazards and emergencies has expanded recently. Yet, the classification of situational awareness tweet based on people post is a complicated process due to the high dimensionality of features. In this empirical study, A framework using machine learning and Natural Language Processing techniques was developed for two-stage binary classification of Twitter data. The First stage consists of four models: Random Forest, Support Vector Machine, Naive Bayes and Decision Trees. Whereas, the second stage includes an ensemble learning approach. Text features - TFIDF (term frequency, inverse document frequency), psychometric, and linguistic - were analyzed as predictors of binary classification to categorize each tweet as situational relevant or irrelevant automatically. A manually built and labeled dataset of 4,000 tweets were analyzed for situational awareness of environmental health hazards in Barbados from water, mosquito-borne diseases, and sewage during the period 2014 - 2018. Based on the experiment, our model was able to achieve over 85% accuracy on classifying tweets that contribute to situational awareness. Furthermore, the results indicate that applying ensemble learning in the second stage showed superior results compared to the combined features-based classification models.",2472-9647,978-1-5386-8396-5,10.1109/SYSCON.2019.8836814,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836814,Ensemble learning;Barbados;Sewage;Environmental health;Text mining;Social media;Crisis;NLP,Twitter;Diseases;Natural language processing;Hazards;Linguistics;Oils,decision trees;diseases;environmental science computing;health care;learning (artificial intelligence);natural language processing;pattern classification;social networking (online);support vector machines;text analysis,environmental health hazards;environmental hazards;social media platforms;machine learning;two-stage binary classification;Support Vector Machine;term frequency inverse document frequency;tweets classification;natural language processing;Twitter data classification;ensemble learning;TFIDF;situational awareness tweet detection;psychometric;linguistic;random forest;naive Bayes;decision trees,,,,37,,16-Sep-19,,,IEEE,IEEE Conferences
A novel approach for ontology-based dimensionality reduction for web text document classification,°ò©ó¥»ÅéªºWeb¤å¥»¤åÀÉ¤ÀÃþ­°ºûªº·s¤èªk,M. K. Elhadad; K. Badran; G. I. Salama,"Computer department, Military Technical College, Cairo, Egypt; Computer department, Military Technical College, Cairo, Egypt; Computer department, Military Technical College, Cairo, Egypt",2017 IEEE/ACIS 16th International Conference on Computer and Information Science (ICIS),29-Jun-17,2017,,,373,378,"Dimensionality reduction of feature vector size plays a vital role in enhancing the text processing capabilities; it aims in reducing the size of the feature vector used in the mining tasks (classification, clustering... etc.). This paper proposes an efficient approach to be used in reducing the size of the feature vector for web text document classification process. This approach is based on using WordNet ontology, utilizing the benefit of its hierarchal structure, to eliminate words from the generated feature vector that has no relation with any of WordNet lexical categories; this leads to the reduction of the feature vector size without losing information on the text. For mining tasks, the Vector Space Model (VSM) is used to represent text documents and the Term Frequency Inverse Document Frequency (TFIDF) is used as a term weighting method. The proposed ontology based approach was evaluated against the Principal component analysis (PCA) approach using several experiments. The experimental results reveal the effectiveness of our proposed approach against other traditional approaches to achieve a better classification accuracy, F-measure, precision, and recall.",,978-1-5090-5507-4,10.1109/ICIS.2017.7960021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7960021,Dimensionality reduction;Principal component analysis;Feature Extraction;Feature Selection;WordNet;Ontology;web text documents classification;Semantic similarity;Vector Space Model;Term Frequency Inverse Document Frequency,Feature extraction;Ontologies;Classification algorithms;Semantics;Algorithm design and analysis;Principal component analysis;Databases,data mining;Internet;ontologies (artificial intelligence);pattern classification;principal component analysis;text analysis;vectors,PCA;principal component analysis;TFIDF;term frequency inverse document frequency;VSM;vector space model;WordNet lexical categories;WordNet ontology;mining tasks;feature vector;Web text document classification;ontology-based dimensionality reduction,,5,,33,,29-Jun-17,,,IEEE,IEEE Conferences
Matching Reviews to Database Objects Based on Labeled Latent Dirichlet Allocation Model,°ò©ó¼Ð°O¼ç¦b¨f§Q§J¹p¤À°t¼Ò«¬ªº¼Æ¾Ú®w¹ï¶Hµû½×¤Ç°t,Y. Zhu; Q. Li; Y. Zhu,"Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China; Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China; NA",2013 10th Web Information System and Application Conference,27-Mar-14,2013,,,48,51,"We develop a method for matching unstructured reviews to database objects in data integration, where each object has a set of attributes. To this end, we propose a Labeled Latent Dirichlet Allocation model. We model reviews as if they were generated by a two-stage stochastic process. Each review is represented by a probability distribution over attributes, and each attribute is represented as a probability distribution over words for that attribute. We introduce the label for each attribute, and then the model integrates object information. We use an unsupervised manner to estimate the model parameters, and use this model to find, given a review, the most likely object to be the topic of the review. Experiments in multiple domains show that our method is superior to the TFIDF method as well as a recent RLM method for the review matching problem.",,978-1-4799-3219-1,10.1109/WISA.2013.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778609,Latent Dirichlet Allocatio;Gibbs sampling;review matching;data integration,Resource management;Motion pictures;Databases;Probability distribution;Accuracy;Data integration;Information retrieval,data integration;database management systems;parameter estimation;statistical distributions;stochastic processes,RLM method;TFIDF method;model parameter estimation;probability distribution;two-stage stochastic process;data integration;labeled latent Dirichlet allocation model;database objects;unstructured review matching,,1,,20,,27-Mar-14,,,IEEE,IEEE Conferences
Mining Relevant Examples for Learning in ITS Student Models,¦bITS¾Ç¥Í¼Ò«¬¤¤«õ±¸¾Ç²ß¬ÛÃö¹ê¨Ò,R. Chaturvedi; C. I. Ezeife,"Sch. of Comput. Sci., Univ. of Windsor, Windsor, ON, Canada; Sch. of Comput. Sci., Univ. of Windsor, Windsor, ON, Canada",2014 IEEE International Conference on Computer and Information Technology,15-Dec-14,2014,,,743,750,"An Intelligent Tutoring System (ITS) provides direct customized instruction or feedback to students while they perform a task in a tutoring system without the intervention of a human. One of the main functions of an ITS system is to present its students with course materials that are most appropriate to their current knowledge of domain concepts, example being one of the course materials. ITS systems typically compare and analyze student model (SM) components for student's current knowledge of concepts (main topics, e.g. Scanf in C programming) that are required to understand the next example (e.g. Codes for scanf) suitable for learning a task (e.g. Write C code to read 2 integers from the keyboard). Existing systems such as NavEx and PADS perform an exhaustive matching of student knowledge level with all examples in the database. This research proposes a task-based technique for managing and classifying examples for more effective retrieval of relevant examples for learning a task. We propose a system called EASK for translating task and example solutions into concepts for similarity matching, which is more readily available, easily extendible and adaptable to other domains. Examples and tasks are represented as vectors of weights computed with term frequency measure TFIDF that signify the importance of a concept for an example. Examples most similar to a task are found by using a classification method called k-NN, which finds the closeness between different objects such as examples and tasks using cosine similarity measure and selecting the k objects (examples) with highest similarity scores. As a by-product, k-NN also predicts the class label (difficulty level) of the task. Our proposed model achieves this prediction with 89% accuracy.",,978-1-4799-6239-6,10.1109/CIT.2014.31,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984744,adaptation;data mining;classification;example-based Learning;student model,Vectors;Computational modeling;Materials;Indexes;Analytical models;Adaptation models,data mining;educational courses;intelligent tutoring systems;pattern classification,relevant example mining;ITS student models;intelligent tutoring system;course materials;C programming;NavEx systems;PADS systems;task-based technique;EASK;similarity matching;TFIDF;k-NN classification method;cosine similarity measure,,1,,8,,15-Dec-14,,,IEEE,IEEE Conferences
